80,2
82,3
80,4
80,0
78,1
82,1
78,3
76,2
80,6
82,5
76,0
76,4
84,2
78,5
84,0
84,4
80,8
74,1
82,7
86,1
74,5
76,6
74,3
84,6
86,3
86,5
78,7
86,7
72,0
88,4
88,6
72,4
76,8
84,8
78,9
82,9
72,6
88,2
88,0
74,7
72,2
80,10
86,9
90,7
70,5
90,3
74,9
88,8
80,12
84,10
72,8
82,11
76,10
90,1
70,1
70,3
78,11
90,5
70,7
68,8
88,10
92,2
84,12
92,8
68,2
70,9
92,4
68,4
90,9
72,10
92,0
86,11
68,6
78,13
80,14
76,12
74,11
82,13
68,0
92,6
72,12
76,14
94,1
94,5
78,15
66,5
74,13
66,7
86,13
80,16
66,3
84,14
94,7
94,9
90,11
68,10
88,12
66,1
92,10
94,3
82,15
66,9
70,11
96,4
64,2
96,8
84,16
96,10
96,0
90,13
96,2
66,11
64,4
72,14
80,18
64,10
76,16
64,0
92,12
88,14
70,13
78,17
74,15
64,8
96,6
82,17
86,15
68,12
94,11
64,6
76,18
68,14
90,15
98,9
98,1
92,14
86,17
98,7
98,3
80,20
62,9
98,11
62,7
62,3
62,5
74,17
66,13
64,12
82,19
78,19
98,5
62,1
94,13
72,16
84,18
88,16
96,12
70,15
62,11
86,19
100,0
88,18
94,15
100,4
74,19
76,20
64,14
68,16
100,10
98,13
92,16
70,17
90,17
60,10
100,6
100,12
82,21
60,4
62,13
72,18
78,21
96,14
80,22
84,20
100,2
60,12
60,2
66,15
60,0
100,8
60,8
60,6
96,16
98,15
58,13
84,22
92,18
90,19
102,13
102,11
102,5
78,23
102,7
68,18
58,7
100,14
60,14
58,9
66,17
102,9
58,11
58,3
82,23
64,16
94,17
58,1
70,19
76,22
80,24
102,3
62,15
86,21
102,1
88,20
72,20
58,5
74,21
92,20
62,17
104,14
58,15
74,23
68,20
56,2
84,24
72,22
104,2
104,8
98,17
100,16
56,0
104,6
80,26
104,4
104,10
104,0
96,18
94,19
78,25
102,15
76,24
56,10
88,22
82,25
56,6
60,16
66,19
56,4
56,12
90,21
70,21
86,23
56,8
64,18
56,14
104,12
106,3
54,3
106,7
60,18
106,9
72,24
102,17
56,16
106,5
82,27
100,18
54,13
94,21
54,7
88,24
76,26
96,20
98,19
66,21
54,5
62,19
84,26
70,23
106,11
92,22
68,22
106,13
74,25
58,17
80,28
54,15
104,16
54,1
54,11
54,9
106,1
106,15
78,27
86,25
90,23
64,20
52,10
60,20
86,27
58,19
80,30
72,26
64,22
66,23
52,4
70,25
108,8
102,19
54,17
62,21
108,12
52,16
74,27
108,6
96,22
78,29
52,8
88,26
76,28
90,25
108,0
108,10
108,4
92,24
84,28
52,2
98,21
104,18
106,17
100,20
52,0
52,6
108,16
94,23
108,14
82,29
52,12
52,14
56,18
68,24
108,2
50,17
110,5
98,23
78,31
76,30
86,29
72,28
108,18
66,25
110,9
52,18
50,13
92,26
110,7
64,24
88,28
50,11
90,27
110,17
50,9
74,29
50,7
110,1
94,25
110,13
104,20
80,32
70,27
110,11
100,22
50,3
110,3
102,21
68,26
54,19
50,1
50,15
110,15
60,22
106,19
84,30
58,21
82,31
96,24
62,23
56,20
50,5
64,26
112,16
112,0
112,18
112,14
62,25
48,12
108,20
52,20
80,34
48,0
94,27
92,28
72,30
100,24
48,16
48,2
112,2
112,8
112,6
48,10
88,30
74,31
106,21
86,31
110,19
58,23
96,26
104,22
54,21
76,32
50,19
112,4
48,8
82,33
90,29
60,24
112,12
102,23
84,32
112,10
48,4
48,6
48,14
48,18
98,25
56,22
78,33
70,29
68,28
66,27
60,26
114,3
78,35
48,20
108,22
46,7
100,26
96,28
46,1
114,19
46,3
114,15
114,13
114,1
98,27
54,23
114,5
74,33
94,29
114,17
62,27
46,9
102,25
56,24
82,35
76,34
58,25
46,19
84,34
104,24
72,32
46,11
46,13
110,21
86,33
46,17
114,11
114,9
52,22
68,30
64,28
92,30
106,23
46,5
112,20
88,32
50,21
114,7
66,29
46,15
80,36
70,31
90,31
116,0
92,32
44,16
52,24
44,14
46,21
98,29
116,8
116,4
96,30
48,22
106,25
86,35
68,32
44,8
116,20
44,12
112,22
114,21
116,16
66,31
84,36
56,26
76,36
82,37
100,28
44,4
94,31
70,33
108,24
110,23
44,0
50,23
102,27
80,38
54,25
104,26
44,18
62,29
116,10
44,20
78,37
58,27
116,2
74,35
88,34
60,28
116,12
64,30
116,18
116,14
90,33
116,6
72,34
44,10
44,6
44,2
118,21
42,13
72,36
54,27
112,24
118,15
46,23
42,7
74,37
108,26
118,3
76,38
102,29
114,23
44,22
48,24
66,33
78,39
68,34
88,36
118,7
96,32
58,29
42,15
104,28
110,25
70,35
64,32
42,5
118,5
56,28
42,9
100,30
86,37
118,1
82,39
80,40
62,31
90,35
118,11
84,38
60,30
42,3
42,11
42,1
118,9
118,17
98,31
52,26
106,27
50,25
42,17
94,33
116,22
92,34
118,13
42,19
42,21
118,19
106,29
40,6
116,24
78,41
96,34
48,26
90,37
110,27
72,38
40,20
68,36
114,25
44,24
80,42
62,33
104,30
54,29
102,31
40,4
82,41
50,27
40,12
40,0
88,38
74,39
108,28
40,14
46,25
118,23
92,36
86,39
64,34
40,16
70,37
40,18
40,2
58,31
98,33
40,8
112,26
56,30
84,40
40,10
40,22
60,32
100,32
94,35
66,35
76,40
42,23
52,28
54,31
72,40
66,37
38,19
60,34
100,34
80,44
108,30
58,33
68,38
52,30
82,43
94,37
38,21
62,35
92,38
106,31
84,42
64,36
112,28
74,41
114,27
38,23
38,11
70,39
38,17
38,13
90,39
38,3
116,26
38,1
44,26
48,28
38,5
46,27
102,33
38,15
38,7
42,25
78,43
110,29
76,42
86,41
98,35
50,29
104,32
56,32
88,40
38,9
118,25
96,36
40,24
106,33
76,44
36,20
116,28
36,22
84,44
88,42
38,25
52,32
78,45
36,2
36,0
118,27
64,38
40,26
54,33
66,39
102,35
104,34
112,30
92,40
114,29
72,42
82,45
36,14
98,37
90,41
62,37
70,41
36,8
36,24
36,16
50,31
36,4
86,43
58,35
56,34
48,30
44,28
60,36
100,36
42,27
36,6
96,38
36,10
74,43
94,39
46,29
68,40
110,31
108,32
36,18
80,46
36,12
88,44
106,35
100,38
46,31
34,13
102,37
68,42
116,30
64,40
50,33
34,5
38,27
56,36
92,42
96,40
62,39
